"","Rbias_gam_aic","Rbias_gam_bic","Rbias_glm","coverrate_gam_aic","coverrate_gam_bic","coverrate_glm","RMSE_gam_aic","RMSE_gam_bic","RMSE_glm","convergrate_gam_aic","convergrate_gam_bic","convergrate_glm"
"Ymodel1.XS",NA,0.617,0.603,NA,95.4,95.4,NA,0.011,0.011,0,100,100
"Ymodel1.S",NA,-0.121,-0.168,NA,95.2,94.8,NA,0.053,0.053,0,100,100
"Ymodel1.L",NA,0.481,0.419,NA,95.2,95,NA,0.104,0.104,0,100,100
"Ymodel1.M",NA,0.042,-0.001,NA,94,94.2,NA,0.458,0.457,0,100,100
"Ymodel1.H",NA,0.594,0.578,NA,94.8,95,NA,0.843,0.84,0,100,100
"Ymodel2.XS",NA,-2.298,-6.549,NA,93.8,76,NA,0.014,0.018,0,100,100
"Ymodel2.S",NA,-1.728,-4.741,NA,94,85.2,NA,0.066,0.077,0,100,100
"Ymodel2.L",NA,-1.198,-2.985,NA,93,88.4,NA,0.129,0.14,0,100,100
"Ymodel2.M",NA,0.302,3.936,NA,94,89.4,NA,0.479,0.619,0,100,100
"Ymodel2.H",NA,-0.334,4.472,NA,95.2,89.2,NA,0.774,1.07,0,100,100
"Ymodel3.XS",NA,-0.75,7.214,NA,95.6,90.2,NA,0.015,0.022,0,100,100
"Ymodel3.S",NA,-1.702,5.111,NA,92.2,90.6,NA,0.073,0.09,0,100,100
"Ymodel3.L",NA,-1.434,5.161,NA,92.6,89.4,NA,0.136,0.169,0,100,100
"Ymodel3.M",NA,-0.848,3.723,NA,95.6,92.6,NA,0.469,0.56,0,100,100
"Ymodel3.H",NA,-1.149,0.881,NA,94.8,95.2,NA,0.767,0.759,0,100,100
"Ymodel4.XS",NA,-1.372,5.543,NA,91,90.4,NA,0.018,0.021,0,100,100
"Ymodel4.S",NA,-1.449,5.826,NA,91.2,88.6,NA,0.075,0.097,0,100,100
"Ymodel4.L",NA,-0.963,6.15,NA,93.8,87.2,NA,0.13,0.177,0,100,100
"Ymodel4.M",NA,-0.1,4.356,NA,96.2,88.4,NA,0.459,0.608,0,100,100
"Ymodel4.H",NA,-0.05,1.277,NA,97.2,95,NA,0.72,0.775,0,100,100
"Ymodel5.XS",NA,-0.595,15.904,NA,92.6,37,NA,0.013,0.036,0,100,100
"Ymodel5.S",NA,-0.047,13.823,NA,94.4,47,NA,0.061,0.157,0,100,100
"Ymodel5.L",NA,-0.048,11.518,NA,95,53.8,NA,0.114,0.265,0,100,100
"Ymodel5.M",NA,-0.237,3.042,NA,92,92,NA,0.506,0.554,0,100,100
"Ymodel5.H",NA,-0.188,-1.186,NA,96.6,96,NA,0.774,0.765,0,100,100
"Ymodel6.XS",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel6.S",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel6.L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel6.M",NA,NA,24.764,NA,NA,43.6,NA,NA,0.931,0,0,100
"Ymodel6.H",NA,2.936,22.712,NA,93.8,18.8,NA,0.665,2.291,0,100,100
"Ymodel7.XS",NA,0.22,-7.178,NA,93.8,71.2,NA,0.015,0.02,0,100,100
"Ymodel7.S",NA,0.765,-5.127,NA,94,82.6,NA,0.07,0.082,0,100,100
"Ymodel7.L",NA,1.498,-2.661,NA,95.2,92.2,NA,0.122,0.125,0,100,100
"Ymodel7.M",NA,1.751,3.144,NA,93.6,92,NA,0.497,0.568,0,100,100
"Ymodel7.H",NA,1.743,4.382,NA,95.6,90.6,NA,0.827,1.082,0,100,100
"Ymodel8.XS",NA,1.157,6.569,NA,94.8,86.6,NA,0.015,0.02,0,100,100
"Ymodel8.S",NA,-0.301,5.599,NA,93.4,89.8,NA,0.069,0.09,0,100,100
"Ymodel8.L",NA,-1.247,4.796,NA,93.8,89.2,NA,0.128,0.158,0,100,100
"Ymodel8.M",NA,-0.924,4.849,NA,93.4,85.4,NA,0.48,0.651,0,100,100
"Ymodel8.H",NA,-1.559,2.125,NA,92.8,93.4,NA,0.828,0.871,0,100,100
"Ymodel9.XS",NA,0.087,-0.206,NA,95.4,95.4,NA,0.01,0.01,0,100,100
"Ymodel9.S",NA,-0.117,-0.42,NA,96.2,96.2,NA,0.051,0.05,0,100,100
"Ymodel9.L",NA,0.569,0.294,NA,93,93,NA,0.11,0.108,0,100,100
"Ymodel9.M",NA,0.956,0.773,NA,94.8,95,NA,0.501,0.497,0,100,100
"Ymodel9.H",NA,0.386,0.288,NA,96.2,96,NA,0.827,0.826,0,100,100
